Country,2012,2013,2014,2015,2016
USA,0.042387328,0.038325136,0.035066434,0.033044273,0.032926933
China,0.018578963,0.018898182,0.019248391,0.019377808,0.019319324
Russia,0.039930628,0.041993364,0.045222846,0.049026001,0.053170329
Saudi Arabia,0.076977325,0.090039982,0.107135807,0.134962085,0.104135356
France,0.02238954,0.022215218,0.022390548,0.022878872,0.022727324
India,0.025354765,0.024641183,0.024881579,0.024238982,0.024998456
UK,0.022369734,0.021231559,0.02006249,0.018913811,0.018585225
Japan,0.010078394,0.009917545,0.010095565,0.009910306,0.009889606
Germany,0.013152478,0.012312955,0.011966774,0.011875179,0.011905336
South Korea ,0.026129761,0.026312722,0.026419115,0.026441245,0.026532415
Italy,0.016255026,0.015859956,0.01472363,0.013956968,0.015196054
Australia,0.016819618,0.016538605,0.017876383,0.019654567,0.019713116
Brazil,0.015077433,0.014630265,0.013923317,0.013866685,0.013392001
Israel,0.057218919,0.057527282,0.05863958,0.055975314,0.057766567
Canada,0.011243123,0.010145093,0.009992774,0.0098669,0.009952383
